url	city	state	add	sightings	lat	lon
http://www.ghostsofamerica.com/4/Kentucky_Calhoun_ghost_sightings.html	CALHOUN	KY	CALHOUN, KY	2	37.538935	-87.258332
http://www.ghostsofamerica.com/4/Kentucky_Calvin_ghost_sightings.html	CALVIN	KY	CALVIN, KY	1	36.722307	-83.622138
http://www.ghostsofamerica.com/4/Kentucky_Campbellsville_ghost_sightings.html	CAMPBELLSVILLE	KY	CAMPBELLSVILLE, KY	3	37.343397	-85.341907
http://www.ghostsofamerica.com/4/Kentucky_Campton_ghost_sightings.html	CAMPTON	KY	CAMPTON, KY	4	37.734253	-83.547409
http://www.ghostsofamerica.com/4/Kentucky_Carrollton_ghost_sightings.html	CARROLLTON	KY	CARROLLTON, KY	1	38.680896	-85.179398
http://www.ghostsofamerica.com/4/Kentucky_Catlettsburg_ghost_sightings.html	CATLETTSBURG	KY	CATLETTSBURG, KY	1	38.404804	-82.600437
http://www.ghostsofamerica.com/4/Kentucky_Cave_City_ghost_sightings.html	CAVE CITY	KY	CAVE CITY, KY	1	37.136717	-85.95692
http://www.ghostsofamerica.com/4/Kentucky_Cawood_ghost_sightings.html	CAWOOD	KY	CAWOOD, KY	2	36.783977	-83.228233
http://www.ghostsofamerica.com/4/Kentucky_Centertown_ghost_sightings.html	CENTERTOWN	KY	CENTERTOWN, KY	1	37.417268	-86.996106
http://www.ghostsofamerica.com/4/Kentucky_Clarkson_ghost_sightings.html	CLARKSON	KY	CLARKSON, KY	1	37.495333	-86.221361
http://www.ghostsofamerica.com/4/Kentucky_Clay_ghost_sightings.html	CLAY	KY	CLAY, KY	1	37.476712	-87.820016
http://www.ghostsofamerica.com/4/Kentucky_Clay_City_ghost_sightings.html	CLAY CITY	KY	CLAY CITY, KY	1	37.859248	-83.918532
http://www.ghostsofamerica.com/4/Kentucky_Closplint_ghost_sightings.html	CLOSPLINT	KY	CLOSPLINT, KY	1	36.90398	-83.068778
http://www.ghostsofamerica.com/4/Kentucky_Cloverport_ghost_sightings.html	CLOVERPORT	KY	CLOVERPORT, KY	2	37.83339	-86.632762
http://www.ghostsofamerica.com/4/Kentucky_Coldiron_ghost_sightings.html	COLDIRON	KY	COLDIRON, KY	4	36.826754	-83.453522
http://www.ghostsofamerica.com/4/Kentucky_Columbia_ghost_sightings.html	COLUMBIA	KY	COLUMBIA, KY	1	37.102841	-85.30635
http://www.ghostsofamerica.com/4/Kentucky_Columbus_ghost_sightings.html	COLUMBUS	KY	COLUMBUS, KY	2	36.759779	-89.1034
http://www.ghostsofamerica.com/4/Kentucky_Combs_ghost_sightings.html	COMBS	KY	COMBS, KY	1	37.26704	-83.212674
http://www.ghostsofamerica.com/4/Kentucky_Corbin_ghost_sightings0.html	CORBIN	KY	CORBIN, KY	20	36.948699	-84.096876
http://www.ghostsofamerica.com/4/Kentucky_Corydon_ghost_sightings.html	CORYDON	KY	CORYDON, KY	1	37.743376	-87.703906
http://www.ghostsofamerica.com/4/Kentucky_Covington_ghost_sightings.html	COVINGTON	KY	COVINGTON, KY	9	39.083671	-84.508554
http://www.ghostsofamerica.com/4/Kentucky_Crab_Orchard_ghost_sightings.html	CRAB ORCHARD	KY	CRAB ORCHARD, KY	1	37.464527	-84.506604
http://www.ghostsofamerica.com/4/Kentucky_Crestwood_ghost_sightings.html	CRESTWOOD	KY	CRESTWOOD, KY	1	38.324236	-85.472459
