zipcode,city,state,dentist_count,latitude,longitude
41175,South Shore,KY,1,38.676695,-82.9686
41230,Louisa,KY,1,38.071237,-82.64062
41240,Paintsville,KY,2,37.823275,-82.78167
41339,Jackson,KY,1,37.533559,-83.34547
41339,Jackson,KY,1,37.533559,-83.34547
41465,Salyersville,KY,3,37.736751,-83.08652
41501,Pikeville,KY,9,37.478169,-82.5189
41503,South Williamson,KY,3,37.67059,-82.28465
41631,Grethel,KY,3,37.479754,-82.64922
41649,Martin,KY,1,37.568873,-82.75937
41653,Prestonsburg,KY,3,37.667872,-82.75876
41701,Hazard,KY,3,37.274854,-83.19061
41749,Hyden,KY,1,37.17621,-83.38301
41822,Hindman,KY,1,37.333551,-82.97212
41840,Neon,KY,1,37.195448,-82.71232
41858,Whitesburg,KY,1,37.130559,-82.83185
42001,Paducah,KY,17,37.066543,-88.65687
42003,Paducah,KY,4,37.044233,-88.59046
42025,Benton,KY,5,36.854812,-88.33515
42029,Calvert City,KY,1,37.013505,-88.37269
42038,Eddyville,KY,1,37.051386,-88.03613
42041,Fulton,KY,1,36.532059,-88.89132
42056,La Center,KY,1,37.08716,-88.97616
42064,Marion,KY,1,37.331602,-88.06997
42066,Mayfield,KY,4,36.733761,-88.63449
42069,Melber,KY,1,36.921462,-88.75871
42071,Murray,KY,9,36.617443,-88.28746
42101,Bowling Green,KY,10,37.010643,-86.46145
42103,Bowling Green,KY,1,36.969761,-86.38247
42104,Bowling Green,KY,10,36.930527,-86.44751
42129,Edmonton,KY,2,36.988613,-85.58534
42134,Franklin,KY,1,36.718074,-86.58202
42141,Glasgow,KY,7,36.970776,-85.91232
42142,Glasgow,KY,1,36.946326,-85.957797
42164,Scottsville,KY,5,36.767969,-86.1813
42167,Tompkinsville,KY,3,36.712179,-85.67567
42211,Cadiz,KY,1,36.846471,-87.86409
42217,Crofton,KY,1,37.04413,-87.48219
42220,Elkton,KY,1,36.887716,-87.18526
42240,Hopkinsville,KY,10,36.866845,-87.47617
42276,Russellville,KY,2,36.860612,-86.88171
42301,Owensboro,KY,13,37.753347,-87.17419
42303,Owensboro,KY,18,37.758568,-87.08714
42320,Beaver Dam,KY,2,37.377266,-86.88364
42330,Central City,KY,2,37.299591,-87.12992
42345,Greenville,KY,3,37.166299,-87.18333
42347,Hartford,KY,2,37.471839,-86.9063
42352,Livermore,KY,1,37.502836,-87.11162
42367,Powderly,KY,1,37.242948,-87.154898
42408,Dawson Springs,KY,1,37.183465,-87.68413
42420,Henderson,KY,12,37.825094,-87.56055
42431,Madisonville,KY,11,37.330791,-87.50378
42437,Morganfield,KY,3,37.67416,-87.90199
42445,Princeton,KY,3,37.12596,-87.87429
42450,Providence,KY,1,37.396445,-87.76428
42459,Sturgis,KY,1,37.558719,-87.99632
42501,Somerset,KY,15,37.075624,-84.54437
42503,Somerset,KY,3,37.112274,-84.588
42544,Nancy,KY,1,37.029286,-84.81365
42602,Albany,KY,2,36.72024,-85.13539
42633,Monticello,KY,4,36.801922,-84.82841
42642,Russell Springs,KY,2,37.05401,-85.06142
42701,Elizabethtown,KY,18,37.704287,-85.86403
42717,Burkesville,KY,1,36.765985,-85.39971
42718,Campbellsville,KY,3,37.372314,-85.3549
42728,Columbia,KY,3,37.123196,-85.27561
42743,Greensburg,KY,2,37.234802,-85.51436
42749,Horse Cave,KY,2,37.176738,-85.88288
42754,Leitchfield,KY,1,37.479797,-86.30731
42765,Munfordville,KY,2,37.291869,-85.90786
47130,Jeffersonville,IN,1,38.309105,-85.72035
