FACILITY NAME,LOCATION ADDRESS,CITY NAME,COUNTY NAME,STATE,ZIP CODE,EPA REGION CODE,LATITUDE,LONGITUDE
QUANTUM CHEMICAL CORPORATION-(TUSCOLA),P.O. BOX 218,TUSCOLA,DOUGLAS,IL,61953,5,39.823889,-88.283056
RADIUM CHEMICAL COMPANY INCORPORATED,60-06 27TH AVENUE,WOODSIDE,QUEENS,NY,11377,2,40.76,-73.9025
RMI TITANIUM COMPANY EXTRUSION PLANT,1601 EAST 21ST STREET,ASHTABULA,ASHTABULA,OH,44004,5,41.88924,-80.77659
ROCKY FLATS OFFICE-DEPARTMENT OF ENERGY,10808 HIGHWAY 93,GOLDEN,JEFFERSON,CO,80403,8,39.89416,-105.2017
SHEEP MOUNTAIN MINES,877 NORTH 8TH STREET WEST,RIVERTON,FREMONT,WY,82501,8,43.03345,-108.40047
SHERWOOD UNR (MINE?) WESTERN NUCLEAR,N OF AND NEAR MIDNITE MINE,WELLPINIT,STEVENS,WA,99040,10,47.948611,-118.079861
SHIELDALLOY METALLURGICAL CORPORATION,12 WEST BOULEVARD,NEWFIELD,GLOUCESTER,NJ,8344,2,39.54306,-75.02221
SHPACK LANDFILL,UNION RD,ATTLEBORO,BRISTOL,MA,2703,1,41.94333,-71.235
ST. LOUIS AIRPORT/HAZELWOOD INTERIM STORAGE/FUTURA COATINGS CO.,BROWN ROAD N OF AIRPORT,ST. LOUIS,ST. LOUIS,MO,63145,7,38.75971,-90.36041
STAUFFER MANAGEMENT COMPANY,877 ANCLOTE ROAD,TARPON SPRINGS,PINELLAS,FL,34689,4,28.16666,-82.77569
TELEDYNE WAH CHANG,1600 OLD SALEM ROAD NORTHEAST,ALBANY,LINN,OR,97321,10,44.66,-123.0633
TEX-TIN CORP.,STATE HGWY 146 & FARM RD 519,TEXAS CITY,GALVESTON,TX,77590,6,29.35666,-94.94166
U S A F WILLIAMS AIR FORCE BASE,6001 S POWER BLDG 1,MESA,MARICOPA,AZ,85206,9,33.30695,-111.6519
U S AIR FORCE MCCLELLAN AIR FORCE BASE CA,5050 DUDLEY BOULEVARD,NORTH HIGHLANDS,SACRAMENTO,CA,95660,9,38.66,-121.3994
U.S. ARMY MATERIALS TECHNOLOGY LABORATORY,405 ARSENAL STREET,WATERTOWN,MIDDLESEX,MA,2472,1,42.36041,-71.16611
U.S. RADIUM CORP.,ALDEN & HIGH STS AND OTHER ADDRESSES,ORANGE,ESSEX,NJ,7050,2,40.78138,-74.22861
UNC MINING & MILLING CHURCH ROCK MILL,STATE RT 566 UNC SITE,GALLUP,MCKINLEY,NM,87301,6,35.64333,-108.5
UNION CARBIDE CORPORATION,90 MI S OF GRAND JCT ON 191,URAVAN,MONTROSE,CO,81422,8,38.36666,-108.7483
UNITED STATES ENRICHMENT CORPORATION,5600 A HOBBS ROAD,PADUCAH,MCCRACKEN,KY,42001,4,37.114444,-88.809167
US AGRI CHEMICALS CORPORATION,2550 HIGHWAY 60 WEST,BARTOW,POLK,FL,33830,4,27.903278,-81.880794
US DEPARTMENT OF ENERGY FERNALD ENVIRONMENTAL MANAGEMENT,7400 WILLEY ROAD,HARRISON,HAMILTON,OH,45030,5,39.29945,-84.68833
US DEPARTMENT OF ENERGY MONTICELLO MILL TAILINGS,7031 SOUTH HIGHWAY 191,MONTICELLO,SAN JUAN,UT,84535,8,37.86333,-109.3483
US DEPARTMENT OF ENERGY MOUND PLANT,1 MOUND ROAD,MIAMISBURG,MONTGOMERY,OH,45342,5,39.6264,-84.2862
US DEPARTMENT OF ENERGY SANDIA NATIONAL LABORATORIES,1515 EUBANK SE,ALBUQUERQUE,BERNALILLO,NM,87123,6,35.055353,-106.532773
US DEPARTMENT OF ENERGY WEST VALLEY DEMONSTRATION PROJECT,10282 ROCK SPRINGS ROAD,WEST VALLEY,CATTARAUGUS,NY,14171,2,42.449622,-78.654853
US DOE INEEL RESEARCH CTR,2185 N BOULEVARD AVE,IDAHO FALLS,BONNEVILLE,ID,83415,10,43.515461,-112.033599
US DOE STANFORD LINEAR ACCELERATOR CENTER,2575 SAND HILL ROAD,MENLO PARK,SAN MATEO,CA,94025,9,37.420937,-122.205725
US MARINE CORPS LOGISTICS BASE,MARINE CORPS LOGISTICS BASE B570 BOX 110570,BARSTOW,SAN BERNARDINO,CA,92311,9,34.87833,-116.9389
