city,state,add,city_count,lat,long,the_geom,cartodb_id,created_at,updated_at
Hindman,KY,"Hindman, KY",1,37.334993,-82.979471,0101000020E6100000591822A7AFBE54C0C8B1F50CE1AA4240,60,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Hopkinsville,KY,"Hopkinsville, KY",1,36.827217,-87.51329,0101000020E610000049D74CBED9E055C0FDD8243FE2694240,61,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Horse Cave,KY,"Horse Cave, KY",1,37.186268,-85.854503,0101000020E61000005ED5592DB07655C04A253CA1D7974240,62,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Hyden,KY,"Hyden, KY",1,37.16217,-83.373686,0101000020E6100000473EAF78EAD754C038328FFCC1944240,63,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Independence,KY,"Independence, KY",1,38.947672,-84.50799,0101000020E61000007C2C7DE8822055C0DEAAEB504D794340,64,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Irvine,KY,"Irvine, KY",1,37.731193,-83.963825,0101000020E61000004D840D4FAFFD54C0350873BB97DD4240,65,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Isonville,KY,"Isonville, KY",1,38.05358,-83.041104,0101000020E610000007EFAB72A1C254C01EDC9DB5DB064340,66,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Jackson,KY,"Jackson, KY",2,37.43232,-83.998858,0101000020E610000045D61A4AEDFF54C00FB4024356B74240,67,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Jeffersonville,KY,"Jeffersonville, KY",1,38.257848,-85.762559,0101000020E61000004F9143C4CD7055C065ABCB2901214340,68,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
La Center,KY,"La Center, KY",1,37.032996,-88.968747,0101000020E610000047C66AF3FF3D56C00C73823639844240,69,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
La Grange,KY,"La Grange, KY",1,38.405201,-85.377872,0101000020E6100000BE840A0E2F5855C03BA759A0DD334340,70,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Latonia,KY,"Latonia, KY",1,39.048846,-84.51448,0101000020E61000008D9C853DED2055C02C45F29540864340,71,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Lebanon,KY,"Lebanon, KY",1,37.553403,-85.25285,0101000020E6100000CA32C4B12E5055C01041D5E8D5C64240,73,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Lebanon Junction,KY,"Lebanon Junction, KY",1,37.841792,-85.729156,0101000020E6100000A96BED7DAA6E55C068041BD7BFEB4240,74,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Leitchfield,KY,"Leitchfield, KY",1,37.477657,-86.2985,0101000020E6100000C976BE9F1A9355C04DDA54DD23BD4240,75,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Lexington,KY,"Lexington, KY",12,38.019225,-84.487625,0101000020E610000091ED7C3F351F55C0FF21FDF675024340,76,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Livermore,KY,"Livermore, KY",1,37.488061,-87.13414,0101000020E61000007845F0BF95C855C0FEB968C878BE4240,77,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
London,KY,"London, KY",1,37.125259,-84.084403,0101000020E6100000CB2BD7DB660555C0CC43A67C08904240,78,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Louisa,KY,"Louisa, KY",1,38.094528,-82.605601,0101000020E6100000315BB22AC2A654C03447567E190C4340,79,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Louisville,KY,"Louisville, KY",30,38.247741,-85.684122,0101000020E6100000581EA4A7C86B55C06D7022FAB51F4340,80,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Madisonville,KY,"Madisonville, KY",1,37.334472,-87.490309,0101000020E6100000CEFBFF3861DF55C0BFB67EFACFAA4240,81,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Manchester,KY,"Manchester, KY",1,37.16302,-83.760765,0101000020E610000041BCAE5FB0F054C0064CE0D6DD944240,82,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Marion,KY,"Marion, KY",1,37.231955,-88.131641,0101000020E610000004745FCE6C0856C0649291B3B09D4240,83,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Martin,KY,"Martin, KY",1,37.828088,-82.400538,0101000020E610000089B3226AA29954C0E31A9FC9FEE94240,84,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Lawrenceburg,KY,"Lawrenceburg, KY",1,38.037297,-84.896617,0101000020E61000002652FDF75E3955C0959EE925C6044340,72,2014-10-14 03:42:22.993991+00,2014-10-14 23:10:37.272815+00
Mayfield,KY,"Mayfield, KY",1,36.73678,-88.629457,0101000020E6100000404F0306492856C0672C9ACE4E5E4240,85,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Maysville,KY,"Maysville, KY",1,38.645907,-83.762772,0101000020E61000007D93A641D1F054C0F5A0A014AD524340,86,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Melber,KY,"Melber, KY",1,36.944663,-88.725512,0101000020E6100000C136E2C96E2E56C0E15E99B7EA784240,87,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Middlesboro,KY,"Middlesboro, KY",1,36.609526,-83.742139,0101000020E6100000838593347FEF54C0E607AEF2044E4240,88,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
Monticello,KY,"Monticello, KY",1,36.843015,-84.872461,0101000020E61000004582A966D63755C0CB845FEAE76B4240,89,2014-10-14 03:42:22.993991+00,2014-10-14 03:42:22.993991+00
